city,listing_type,total_listings,ttm_revenue_mean,ttm_revenue_median,ttm_revenue_sum,ttm_occupancy_mean,bedrooms_mean,amenity_count_mean
Aix-en-Provence,Entire condo,11,10332.09090909091,7884.0,113653.0,0.2989090909090909,0.9090909090909091,40.27272727272727
Aix-en-Provence,Entire cottage,2,19413.0,19413.0,38826.0,0.329,1.0,41.5
Aix-en-Provence,Entire guest suite,4,10917.5,11034.0,43670.0,0.31275,1.25,41.0
Aix-en-Provence,Entire guesthouse,6,14285.833333333334,15568.0,85715.0,0.453,1.0,44.166666666666664
Aix-en-Provence,Entire home,50,32858.02,28294.0,1642901.0,0.27162,3.06,47.84
Aix-en-Provence,Entire loft,14,26449.14285714286,17105.0,370288.0,0.3906428571428572,1.5,37.0
Aix-en-Provence,Entire rental unit,157,15916.675159235669,13253.0,2498918.0,0.3593184713375796,1.1719745222929936,35.038216560509554
Aix-en-Provence,Entire serviced apartment,1,2923.0,2923.0,2923.0,0.088,1.0,25.0
Aix-en-Provence,Entire townhouse,3,22074.666666666668,13265.0,66224.0,0.39366666666666666,1.6666666666666667,48.0
Aix-en-Provence,Entire vacation home,1,25662.0,25662.0,25662.0,0.499,1.0,44.0
Aix-en-Provence,Entire villa,18,60413.666666666664,36206.5,1087446.0,0.24283333333333332,4.833333333333333,45.94444444444444
Aix-en-Provence,Private room in bed and breakfast,5,12687.8,13710.0,63439.0,0.5056,0.6,38.0
Aix-en-Provence,Private room in condo,2,8348.0,8348.0,16696.0,0.6,0.0,34.5
Aix-en-Provence,Private room in guest suite,2,10927.0,10927.0,21854.0,0.2955,0.0,40.5
Aix-en-Provence,Private room in home,7,6244.571428571428,4164.0,43712.0,0.2714285714285714,0.5714285714285714,28.0
Aix-en-Provence,Private room in rental unit,12,10012.083333333334,10187.5,120145.0,0.5325,0.25,25.333333333333332
Aix-en-Provence,Private room in villa,3,8838.666666666666,9273.0,26516.0,0.325,0.0,39.0
Aix-en-Provence,Room in aparthotel,1,4063.0,4063.0,4063.0,0.082,0.0,19.0
Aix-en-Provence,Shepherd’s hut,1,11393.0,11393.0,11393.0,0.452,1.0,45.0
Aix-les-Bains,Boat,1,6942.0,6942.0,6942.0,0.11,4.0,31.0
Aix-les-Bains,Entire chalet,1,8876.0,8876.0,8876.0,0.222,1.0,45.0
Aix-les-Bains,Entire condo,43,9470.46511627907,9285.0,407230.0,0.3267441860465116,0.7441860465116279,37.348837209302324
Aix-les-Bains,Entire guesthouse,1,20451.0,20451.0,20451.0,0.701,1.0,58.0
Aix-les-Bains,Entire home,9,16405.0,9422.0,147645.0,0.23588888888888887,2.3333333333333335,42.888888888888886
Aix-les-Bains,Entire loft,1,15655.0,15655.0,15655.0,0.159,2.0,32.0
Aix-les-Bains,Entire place,1,4702.0,4702.0,4702.0,0.167,1.0,34.0
Aix-les-Bains,Entire rental unit,120,9442.425,7590.5,1133091.0,0.33614166666666667,0.85,33.18333333333333
Aix-les-Bains,Entire townhouse,3,14646.666666666666,12670.0,43940.0,0.18966666666666665,2.0,50.0
Aix-les-Bains,Private room in bed and breakfast,4,7666.25,8680.0,30665.0,0.29425,0.5,27.0
Aix-les-Bains,Private room in guesthouse,1,2036.0,2036.0,2036.0,0.082,1.0,19.0
Aix-les-Bains,Private room in home,1,1514.0,1514.0,1514.0,0.093,2.0,42.0
Aix-les-Bains,Private room in townhouse,2,10882.0,10882.0,21764.0,0.497,0.0,30.5
Aix-les-Bains,Private room in villa,2,1362.5,1362.5,2725.0,0.0435,1.0,34.0
Aix-les-Bains,Tiny home,1,1892.0,1892.0,1892.0,0.063,1.0,40.0
Ajaccio,Boat,1,9764.0,9764.0,9764.0,0.227,3.0,17.0
Ajaccio,Entire chalet,1,22206.0,22206.0,22206.0,0.542,2.0,33.0
Ajaccio,Entire condo,42,11515.92857142857,10284.0,483669.0,0.26985714285714285,1.2857142857142858,36.95238095238095
Ajaccio,Entire cottage,1,10406.0,10406.0,10406.0,0.058,3.0,43.0
Ajaccio,Entire home,20,21609.8,15732.0,432196.0,0.27665,2.4,40.4
Ajaccio,Entire loft,2,26986.0,26986.0,53972.0,0.626,1.0,38.5
Ajaccio,Entire rental unit,193,11746.19689119171,10801.0,2267016.0,0.28438860103626945,1.1813471502590673,33.310880829015545
Ajaccio,Entire serviced apartment,2,5029.0,5029.0,10058.0,0.08499999999999999,1.5,31.5
Ajaccio,Entire townhouse,3,6373.333333333333,6932.0,19120.0,0.09033333333333333,2.3333333333333335,40.666666666666664
Ajaccio,Entire vacation home,1,2387.0,2387.0,2387.0,0.055,0.0,30.0
Ajaccio,Entire villa,8,32184.75,21969.5,257478.0,0.2595,3.625,53.875
